n,instance,origin,destruction,fragments,method,baseline_cost,cost,improvement_pct
50,2,raw,longest,4,random_best,5.552214622497559,6.545788270421326,-17.89508719453693
50,2,raw,longest,4,model_route,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,4,model_learned,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,8,original_order,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,8,exact_fixed_orientation,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,8,exact_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,8,greedy_pair,5.552214622497559,5.975716953165829,-7.627628963625439
50,2,raw,longest,8,random_mean,5.552214622497559,8.515882313251495,-53.37811832318519
50,2,raw,longest,8,random_best,5.552214622497559,7.5819392474368215,-36.55702747359268
50,2,raw,longest,8,model_route,5.552214622497559,5.975716953165829,-7.627628963625439
50,2,raw,longest,8,model_learned,5.552214622497559,6.232159470207989,-12.246371834318074
50,2,raw,longest,12,original_order,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,12,exact_fixed_orientation,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,12,exact_reversible,5.552214622497559,5.5368080558255315,0.27748507072474726
50,2,raw,longest,12,greedy_pair,5.552214622497559,6.899020587094128,-24.25709480212302
50,2,raw,longest,12,random_mean,5.552214622497559,10.096634911373258,-81.84878643670798
50,2,raw,longest,12,random_best,5.552214622497559,8.89848901052028,-60.26918293942792
50,2,raw,longest,12,model_route,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,longest,12,model_learned,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,two_opt,longest,4,original_order,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,4,exact_fixed_orientation,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,4,exact_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,4,greedy_pair,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,4,random_mean,5.536808013916016,6.682453860528767,-20.69144972578652
50,2,two_opt,longest,4,random_best,5.536808013916016,6.530381334014237,-17.944875776819597
50,2,two_opt,longest,4,model_route,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,4,model_learned,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,8,original_order,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,8,exact_fixed_orientation,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,8,exact_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,8,greedy_pair,5.536808013916016,5.96031001675874,-7.648847526920014
50,2,two_opt,longest,8,random_mean,5.536808013916016,8.520763635635376,-53.89306644224602
50,2,two_opt,longest,8,random_best,5.536808013916016,7.566532311029732,-36.65874438868532
50,2,two_opt,longest,8,model_route,5.536808013916016,5.96031001675874,-7.648847526920014
50,2,two_opt,longest,8,model_learned,5.536808013916016,6.2167525338009,-12.280442416929322
50,2,two_opt,longest,12,original_order,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,12,exact_fixed_orientation,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,12,exact_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,12,greedy_pair,5.536808013916016,6.883613650687039,-24.32458617647587
50,2,two_opt,longest,12,random_mean,5.536808013916016,10.100797904655337,-82.42998274941722
50,2,two_opt,longest,12,random_best,5.536808013916016,8.8970438959077,-60.689044545994506
50,2,two_opt,longest,12,model_route,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,longest,12,model_learned,5.536808013916016,5.760367137379944,-4.037689638182202
50,3,raw,longest,4,original_order,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,4,exact_fixed_orientation,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,4,exact_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,4,greedy_pair,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,4,random_mean,5.57831335067749,6.922417060472071,-24.095163274242
50,3,raw,longest,4,random_best,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,4,model_route,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,4,model_learned,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,8,original_order,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,8,exact_fixed_orientation,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,8,exact_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,8,greedy_pair,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,8,random_mean,5.57831335067749,8.430983888916671,-51.13858542730881
50,3,raw,longest,8,random_best,5.57831335067749,7.877473919652402,-41.21605267469741
50,3,raw,longest,8,model_route,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,8,model_learned,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,12,original_order,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,12,exact_fixed_orientation,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,12,exact_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,12,greedy_pair,5.57831335067749,6.672938077710569,-19.622861933708613
50,3,raw,longest,12,random_mean,5.57831335067749,10.26403443980962,-83.99888630428131
50,3,raw,longest,12,random_best,5.57831335067749,9.546492456458509,-71.13582289706046
50,3,raw,longest,12,model_route,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,longest,12,model_learned,5.57831335067749,6.33586314227432,-13.58026600468446
50,3,two_opt,longest,4,original_order,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,4,exact_fixed_orientation,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,4,exact_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,4,greedy_pair,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,4,random_mean,5.566641807556152,7.18554709572345,-29.082260798059576
50,3,two_opt,longest,4,random_best,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,4,model_route,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,4,model_learned,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,8,original_order,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,8,exact_fixed_orientation,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,8,exact_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,8,greedy_pair,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,8,random_mean,5.566641807556152,8.348052815534174,-49.96569034139287
50,3,two_opt,longest,8,random_best,5.566641807556152,7.7620004108175635,-39.4377558168272
50,3,two_opt,longest,8,model_route,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,8,model_learned,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,12,original_order,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,12,exact_fixed_orientation,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,12,exact_reversible,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,12,greedy_pair,5.566641807556152,6.661266847513616,-19.664010687226565
50,3,two_opt,longest,12,random_mean,5.566641807556152,10.322428082115948,-85.43366789119246
50,3,two_opt,longest,12,random_best,5.566641807556152,9.570491208694875,-71.9257595432834
50,3,two_opt,longest,12,model_route,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,3,two_opt,longest,12,model_learned,5.566641807556152,5.566641747020185,1.0874773237220807e-06
50,4,raw,longest,4,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,4,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,4,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,4,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,4,random_mean,5.533407211303711,6.675295880064368,-20.6362666826326
50,4,raw,longest,4,random_best,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,longest,4,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
