n,instance,origin,fragments,cut_samples,method,baseline_cost,cost,improvement_pct
50,6,raw,8,64,best_random_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,64,best_random_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,64,longest_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,64,longest_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,64,best_combined_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,64,single_random_fixed_mean,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,64,best_random_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,64,best_random_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,64,longest_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,64,longest_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,64,best_combined_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,64,single_random_fixed_mean,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,64,best_random_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,64,best_random_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,64,longest_fixed,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,64,longest_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,64,best_combined_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,7,raw,4,64,single_random_fixed_mean,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,4,64,best_random_fixed,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,4,64,best_random_reversible,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,4,64,longest_fixed,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,4,64,longest_reversible,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,4,64,best_combined_reversible,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,8,64,single_random_fixed_mean,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,8,64,best_random_fixed,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,8,64,best_random_reversible,5.534050941467285,5.531352804042399,0.04875519675232424
50,7,raw,8,64,longest_fixed,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,8,64,longest_reversible,5.534050941467285,5.534051411785185,-8.498618916871005e-06
50,7,raw,8,64,best_combined_reversible,5.534050941467285,5.531352804042399,0.04875519675232424
50,7,two_opt,4,64,single_random_fixed_mean,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,4,64,best_random_fixed,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,4,64,best_random_reversible,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,4,64,longest_fixed,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,4,64,longest_reversible,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,4,64,best_combined_reversible,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,8,64,single_random_fixed_mean,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,8,64,best_random_fixed,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,8,64,best_random_reversible,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,8,64,longest_fixed,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,8,64,longest_reversible,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,7,two_opt,8,64,best_combined_reversible,5.531352996826172,5.531352804042399,3.4852914477890166e-06
50,8,raw,4,64,single_random_fixed_mean,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,4,64,best_random_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,4,64,best_random_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,4,64,longest_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,4,64,longest_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,4,64,best_combined_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,8,64,single_random_fixed_mean,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,8,64,best_random_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,8,64,best_random_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,8,64,longest_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,8,64,longest_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,raw,8,64,best_combined_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,4,64,single_random_fixed_mean,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,4,64,best_random_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,4,64,best_random_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,4,64,longest_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,4,64,longest_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,4,64,best_combined_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,8,64,single_random_fixed_mean,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,8,64,best_random_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,8,64,best_random_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,8,64,longest_fixed,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,8,64,longest_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,8,two_opt,8,64,best_combined_reversible,5.643372058868408,5.643372589722276,-9.406678524705812e-06
50,9,raw,4,64,single_random_fixed_mean,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,4,64,best_random_fixed,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,4,64,best_random_reversible,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,4,64,longest_fixed,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,4,64,longest_reversible,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,4,64,best_combined_reversible,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,8,64,single_random_fixed_mean,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,8,64,best_random_fixed,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,8,64,best_random_reversible,6.254759311676025,6.2513803818728775,0.05402173984281569
50,9,raw,8,64,longest_fixed,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,8,64,longest_reversible,6.254759311676025,6.254759838571772,-8.423917217807698e-06
50,9,raw,8,64,best_combined_reversible,6.254759311676025,6.2513803818728775,0.05402173984281569
50,9,two_opt,4,64,single_random_fixed_mean,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,4,64,best_random_fixed,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,4,64,best_random_reversible,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,4,64,longest_fixed,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,4,64,longest_reversible,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,4,64,best_combined_reversible,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,8,64,single_random_fixed_mean,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,8,64,best_random_fixed,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,8,64,best_random_reversible,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,8,64,longest_fixed,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,8,64,longest_reversible,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,9,two_opt,8,64,best_combined_reversible,6.24640417098999,6.246404034784064,2.1805493658270035e-06
50,10,raw,4,64,single_random_fixed_mean,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,4,64,best_random_fixed,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,4,64,best_random_reversible,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,4,64,longest_fixed,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,4,64,longest_reversible,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,4,64,best_combined_reversible,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,8,64,single_random_fixed_mean,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,8,64,best_random_fixed,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,8,64,best_random_reversible,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,8,64,longest_fixed,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,8,64,longest_reversible,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,raw,8,64,best_combined_reversible,5.672022819519043,5.672022696584463,2.1673851421434754e-06
50,10,two_opt,4,64,single_random_fixed_mean,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,4,64,best_random_fixed,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,4,64,best_random_reversible,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,4,64,longest_fixed,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,4,64,longest_reversible,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,4,64,best_combined_reversible,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,8,64,single_random_fixed_mean,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,8,64,best_random_fixed,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,8,64,best_random_reversible,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,8,64,longest_fixed,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,8,64,longest_reversible,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,10,two_opt,8,64,best_combined_reversible,5.626871585845947,5.626871544867754,7.2825890297833e-07
50,11,raw,4,64,single_random_fixed_mean,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,4,64,best_random_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,4,64,best_random_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,4,64,longest_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,4,64,longest_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,4,64,best_combined_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,8,64,single_random_fixed_mean,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,8,64,best_random_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,8,64,best_random_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,8,64,longest_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,8,64,longest_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,raw,8,64,best_combined_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,4,64,single_random_fixed_mean,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,4,64,best_random_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,4,64,best_random_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,4,64,longest_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,4,64,longest_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,4,64,best_combined_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,8,64,single_random_fixed_mean,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,8,64,best_random_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,8,64,best_random_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,8,64,longest_fixed,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,8,64,longest_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
50,11,two_opt,8,64,best_combined_reversible,5.948694705963135,5.948694618418813,1.471655990785645e-06
