objective,n,instance,origin,remaining,oracle_completion,source_spread_pct,source_count,policy,regret,regret_pct,oracle_hit
reinforce,20,1,route,4,0.9365409910678864,0.0,4,shortest_component,0.0,0.0,1
reinforce,20,1,route,4,0.9365409910678864,0.0,4,min_entropy,0.0,0.0,1
reinforce,20,1,route,4,0.9365409910678864,0.0,4,max_margin,0.0,0.0,1
reinforce,20,1,route,4,0.9365409910678864,0.0,4,shortest_edge,0.0,0.0,1
reinforce,20,1,route,4,0.9365409910678864,0.0,4,random_expected,0.0,0.0,1.0
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,learned,0.0,0.0,1
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,route,0.0,0.0,1
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,fixed,0.0,0.0,1
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,shortest_component,0.15367689728736877,12.83288930516467,0
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,min_entropy,0.0,0.0,1
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,max_margin,0.0,0.0,1
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,shortest_edge,0.15367689728736877,12.83288930516467,0
reinforce,20,1,route,6,1.1975237503647804,34.01105726357878,6,random_expected,0.09349456429481506,7.807324428123907,0.6666666666666666
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,learned,0.0,0.0,1
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,route,0.0,0.0,1
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,fixed,0.0,0.0,1
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,shortest_component,0.0,0.0,1
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,min_entropy,0.0,0.0,1
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,max_margin,0.0,0.0,1
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,shortest_edge,0.15367689728736877,8.75244161836663,0
reinforce,20,1,route,8,1.755817450582981,17.582188076797113,8,random_expected,0.05779850296676159,3.2918287118954677,0.75
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,learned,0.0,0.0,1
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,route,0.0,0.0,1
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,fixed,0.2628001421689987,12.304901171192826,0
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,shortest_component,0.2628001421689987,12.304901171192826,0
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,min_entropy,0.0,0.0,1
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,max_margin,0.0,0.0,1
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,shortest_edge,0.15367689728736877,7.195502322828246,0
reinforce,20,1,route,10,2.135735496878624,14.454558015161759,10,random_expected,0.11054118648171407,5.175790103375157,0.5
reinforce,20,2,learned,4,0.8022159412503242,28.926233761491112,4,learned,0.0,0.0,1
reinforce,20,2,learned,4,0.8022159412503242,28.926233761491112,4,route,0.0,0.0,1
reinforce,20,2,learned,4,0.8022159412503242,28.926233761491112,4,fixed,0.0,0.0,1
reinforce,20,2,learned,4,0.8022159412503242,28.926233761491112,4,shortest_component,0.0,0.0,1
