instance,stage,method,cost
11,6,endpoint_once,5.243185495957732
11,8,route,5.243185495957732
11,8,source_once,5.243185495957732
11,8,endpoint_once,5.243185495957732
11,10,route,5.243185495957732
11,10,source_once,5.243185495957732
11,10,endpoint_once,5.243185495957732
11,15,route,5.243185495957732
11,15,source_once,5.243185495957732
11,15,endpoint_once,5.243185495957732
11,20,route,5.243185495957732
11,20,source_once,5.201866580173373
11,20,endpoint_once,5.201866580173373
11,30,route,5.243185495957732
11,30,source_once,5.201866580173373
11,30,endpoint_once,5.243185495957732
12,4,route,5.9166437070816755
12,4,source_once,5.9166437070816755
12,4,endpoint_once,5.9166437070816755
12,6,route,5.9166437070816755
12,6,source_once,5.9166437070816755
12,6,endpoint_once,5.9166437070816755
12,8,route,5.9166437070816755
12,8,source_once,5.9166437070816755
12,8,endpoint_once,5.9166437070816755
12,10,route,5.9166437070816755
12,10,source_once,5.9166437070816755
12,10,endpoint_once,5.9166437070816755
12,15,route,5.9166437070816755
12,15,source_once,5.9166437070816755
12,15,endpoint_once,5.9166437070816755
12,20,route,5.9166437070816755
12,20,source_once,5.9166437070816755
12,20,endpoint_once,5.9166437070816755
12,30,route,5.9166437070816755
12,30,source_once,5.857378544285893
12,30,endpoint_once,5.9166437070816755
13,4,route,6.649965059943497
13,4,source_once,6.461930145509541
13,4,endpoint_once,6.461930145509541
13,6,route,6.649965059943497
13,6,source_once,6.2984298737719655
13,6,endpoint_once,6.345412311144173
13,8,route,6.649965059943497
13,8,source_once,6.2984298737719655
13,8,endpoint_once,6.649965059943497
13,10,route,6.649965059943497
13,10,source_once,6.2984298737719655
13,10,endpoint_once,6.649965059943497
13,15,route,6.649965059943497
13,15,source_once,5.828325410373509
13,15,endpoint_once,5.828325410373509
13,20,route,6.649965059943497
13,20,source_once,5.638742101378739
13,20,endpoint_once,5.66303635109216
13,30,route,6.649965059943497
13,30,source_once,5.638742101378739
13,30,endpoint_once,6.112282549031079
14,4,route,5.3571185492910445
14,4,source_once,5.3571185492910445
14,4,endpoint_once,5.3571185492910445
14,6,route,5.3571185492910445
14,6,source_once,5.3571185492910445
14,6,endpoint_once,5.3571185492910445
14,8,route,5.3571185492910445
14,8,source_once,5.3571185492910445
14,8,endpoint_once,5.3571185492910445
14,10,route,5.3571185492910445
14,10,source_once,5.3571185492910445
14,10,endpoint_once,5.3571185492910445
14,15,route,5.3571185492910445
14,15,source_once,5.3571185492910445
14,15,endpoint_once,5.3571185492910445
14,20,route,5.3571185492910445
14,20,source_once,5.3571185492910445
14,20,endpoint_once,5.3571185492910445
14,30,route,5.3571185492910445
14,30,source_once,5.3571185492910445
14,30,endpoint_once,5.3571185492910445
15,4,route,5.661749067250639
15,4,source_once,5.661749067250639
15,4,endpoint_once,5.661749067250639
15,6,route,5.661749067250639
15,6,source_once,5.661749067250639
15,6,endpoint_once,5.661749067250639
15,8,route,5.661749067250639
15,8,source_once,5.661749067250639
15,8,endpoint_once,5.661749067250639
15,10,route,5.661749067250639
15,10,source_once,5.661749067250639
15,10,endpoint_once,5.661749067250639
15,15,route,5.661749067250639
15,15,source_once,5.661749067250639
15,15,endpoint_once,5.661749067250639
15,20,route,5.661749067250639
15,20,source_once,5.661749067250639
15,20,endpoint_once,5.661749067250639
15,30,route,5.661749067250639
15,30,source_once,5.607274169567972
15,30,endpoint_once,5.661749067250639
16,4,route,5.72804534714669
16,4,source_once,5.72804534714669
16,4,endpoint_once,5.72804534714669
16,6,route,5.72804534714669
16,6,source_once,5.72804534714669
16,6,endpoint_once,5.72804534714669
16,8,route,5.72804534714669
16,8,source_once,5.72804534714669
16,8,endpoint_once,5.72804534714669
16,10,route,5.72804534714669
16,10,source_once,5.721105636097491
16,10,endpoint_once,5.72804534714669
16,15,route,5.72804534714669
16,15,source_once,5.724455843679607
16,15,endpoint_once,5.72804534714669
16,20,route,5.72804534714669
