n,instance,method,cost,source_deviations,endpoint_deviations
50,18,endpoint_once,5.809258456341922,5,0
50,18,endpoint_repeated,5.809258456341922,5,0
50,19,route,5.574154986999929,8,0
50,19,source_once,5.574154986999929,8,0
50,19,source_repeated,5.574154986999929,8,0
50,19,endpoint_once,5.574154986999929,8,0
50,19,endpoint_repeated,5.574154986999929,8,0
50,20,route,6.031202709302306,6,1
50,20,source_once,6.031202709302306,6,1
50,20,source_repeated,6.030801197513938,6,1
50,20,endpoint_once,6.031202709302306,6,1
50,20,endpoint_repeated,6.030801197513938,6,1
50,21,route,5.826739287003875,7,0
50,21,source_once,5.826739287003875,7,0
50,21,source_repeated,5.826739287003875,7,0
50,21,endpoint_once,5.826739287003875,7,0
50,21,endpoint_repeated,5.826739287003875,7,0
50,22,route,5.774594833143055,7,0
50,22,source_once,5.774594833143055,7,0
50,22,source_repeated,5.774594833143055,7,0
50,22,endpoint_once,5.774594833143055,7,0
50,22,endpoint_repeated,5.774594833143055,7,0
50,23,route,5.82524333987385,6,1
50,23,source_once,5.817626387812197,6,1
50,23,source_repeated,5.817626387812197,6,1
50,23,endpoint_once,5.82524333987385,6,1
50,23,endpoint_repeated,5.817626387812197,6,1
50,24,route,5.784197822213173,8,0
50,24,source_once,5.784197822213173,8,0
50,24,source_repeated,5.784197822213173,8,0
50,24,endpoint_once,5.784197822213173,8,0
50,24,endpoint_repeated,5.784197822213173,8,0
50,25,route,5.834139631129801,7,0
50,25,source_once,5.834139631129801,7,0
50,25,source_repeated,5.834139631129801,7,0
50,25,endpoint_once,5.834139631129801,7,0
50,25,endpoint_repeated,5.834139631129801,7,0
50,26,route,5.7155350018292665,2,0
50,26,source_once,5.7155350018292665,2,0
50,26,source_repeated,5.7155350018292665,2,0
50,26,endpoint_once,5.7155350018292665,2,0
50,26,endpoint_repeated,5.7155350018292665,2,0
50,27,route,6.176470227073878,6,0
50,27,source_once,6.176470227073878,6,0
50,27,source_repeated,6.176470227073878,6,0
50,27,endpoint_once,6.176470227073878,6,0
50,27,endpoint_repeated,6.176470227073878,6,0
50,28,route,5.461533470079303,7,0
50,28,source_once,5.461533470079303,7,0
50,28,source_repeated,5.461533470079303,7,0
50,28,endpoint_once,5.461533470079303,7,0
50,28,endpoint_repeated,5.461533470079303,7,0
50,29,route,5.734705666080117,1,0
50,29,source_once,5.734705666080117,1,0
50,29,source_repeated,5.734705666080117,1,0
50,29,endpoint_once,5.734705666080117,1,0
50,29,endpoint_repeated,5.734705666080117,1,0
50,30,route,5.5898366421461105,7,0
50,30,source_once,5.5898366421461105,7,0
50,30,source_repeated,5.5898366421461105,7,0
50,30,endpoint_once,5.5898366421461105,7,0
50,30,endpoint_repeated,5.5898366421461105,7,0
50,31,route,5.905414903536439,8,0
50,31,source_once,5.905414903536439,8,0
50,31,source_repeated,5.905414903536439,8,0
50,31,endpoint_once,5.905414903536439,8,0
50,31,endpoint_repeated,5.905414903536439,8,0
50,32,route,5.810895658098161,9,0
50,32,source_once,5.810895658098161,9,0
50,32,source_repeated,5.810895658098161,9,0
50,32,endpoint_once,5.810895658098161,9,0
50,32,endpoint_repeated,5.810895658098161,9,0
50,33,route,5.37824347242713,8,0
50,33,source_once,5.37824347242713,8,0
50,33,source_repeated,5.37824347242713,8,0
50,33,endpoint_once,5.37824347242713,8,0
50,33,endpoint_repeated,5.37824347242713,8,0
50,34,route,5.457529344595969,4,1
50,34,source_once,5.457529344595969,4,1
50,34,source_repeated,5.457529344595969,4,1
50,34,endpoint_once,5.457529344595969,4,1
50,34,endpoint_repeated,5.397763759829104,4,1
50,35,route,5.387000642716885,4,0
50,35,source_once,5.387000642716885,4,0
50,35,source_repeated,5.387000642716885,4,0
50,35,endpoint_once,5.387000642716885,4,0
50,35,endpoint_repeated,5.387000642716885,4,0
50,36,route,5.748261762084439,5,1
50,36,source_once,5.7446819704491645,5,1
50,36,source_repeated,5.7446819704491645,5,1
50,36,endpoint_once,5.748261762084439,5,1
50,36,endpoint_repeated,5.7446819704491645,5,1
50,37,route,6.114642764441669,4,0
50,37,source_once,6.114642764441669,4,0
50,37,source_repeated,6.114642764441669,4,0
50,37,endpoint_once,6.114642764441669,4,0
50,37,endpoint_repeated,6.114642764441669,4,0
50,38,route,6.733539879322052,2,2
50,38,source_once,6.613341599702835,2,2
50,38,source_repeated,6.613341599702835,2,2
50,38,endpoint_once,6.733539879322052,2,2
50,38,endpoint_repeated,6.613341599702835,2,2
50,39,route,6.087646756321192,6,1
50,39,source_once,6.087646756321192,6,1
50,39,source_repeated,6.087646756321192,6,1
50,39,endpoint_once,6.087646756321192,6,1
50,39,endpoint_repeated,6.0848136730492115,6,1
50,40,route,5.195702380500734,8,0
50,40,source_once,5.195702380500734,8,0
50,40,source_repeated,5.195702380500734,8,0
50,40,endpoint_once,5.195702380500734,8,0
50,40,endpoint_repeated,5.195702380500734,8,0
50,41,route,5.640559729188681,5,0
50,41,source_once,5.640559729188681,5,0
50,41,source_repeated,5.640559729188681,5,0
50,41,endpoint_once,5.640559729188681,5,0
50,41,endpoint_repeated,5.640559729188681,5,0
50,42,route,5.73052117601037,8,0
50,42,source_once,5.73052117601037,8,0
50,42,source_repeated,5.73052117601037,8,0
50,42,endpoint_once,5.73052117601037,8,0
50,42,endpoint_repeated,5.73052117601037,8,0
50,43,route,5.932339335791767,6,0
50,43,source_once,5.932339335791767,6,0
50,43,source_repeated,5.932339335791767,6,0
50,43,endpoint_once,5.932339335791767,6,0
50,43,endpoint_repeated,5.932339335791767,6,0
50,44,route,5.583729267120361,4,0
50,44,source_once,5.583729267120361,4,0
50,44,source_repeated,5.583729267120361,4,0
50,44,endpoint_once,5.583729267120361,4,0
50,44,endpoint_repeated,5.583729267120361,4,0
50,45,route,5.355063496157527,4,0
50,45,source_once,5.355063496157527,4,0
50,45,source_repeated,5.355063496157527,4,0
50,45,endpoint_once,5.355063496157527,4,0
50,45,endpoint_repeated,5.355063496157527,4,0
50,46,route,5.8917385675013065,8,1
50,46,source_once,5.886077705770731,8,1
50,46,source_repeated,5.886077705770731,8,1
50,46,endpoint_once,5.8917385675013065,8,1
50,46,endpoint_repeated,5.886077705770731,8,1
50,47,route,5.881703958380967,8,0
50,47,source_once,5.881703958380967,8,0
50,47,source_repeated,5.881703958380967,8,0
50,47,endpoint_once,5.881703958380967,8,0
50,47,endpoint_repeated,5.881703958380967,8,0
50,48,route,5.353073672391474,4,0
50,48,source_once,5.353073672391474,4,0
50,48,source_repeated,5.353073672391474,4,0
50,48,endpoint_once,5.353073672391474,4,0
50,48,endpoint_repeated,5.353073672391474,4,0
50,49,route,5.74036343768239,6,0
50,49,source_once,5.74036343768239,6,0
50,49,source_repeated,5.74036343768239,6,0
50,49,endpoint_once,5.74036343768239,6,0
50,49,endpoint_repeated,5.74036343768239,6,0
50,50,route,5.516734378412366,6,0
50,50,source_once,5.516734378412366,6,0
50,50,source_repeated,5.516734378412366,6,0
