n,instance,origin,fragments,method,baseline_cost,cost,improvement_pct
50,4,raw,4,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,random_mean,5.533407211303711,6.911779277026653,-24.910005952701027
50,4,raw,4,random_best,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,4,model_learned,5.533407211303711,7.051199173554778,-27.4296089966143
50,4,raw,8,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,random_mean,5.533407211303711,8.97432935750112,-62.184509738742
50,4,raw,8,random_best,5.533407211303711,8.348185868933797,-50.868814640643514
50,4,raw,8,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,8,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,12,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,12,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,12,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,12,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,12,random_mean,5.533407211303711,10.718049851246178,-93.69710997143345
50,4,raw,12,random_best,5.533407211303711,9.278159501031041,-67.67534263658574
50,4,raw,12,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,raw,12,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,random_mean,5.533407211303711,6.911779277026653,-24.910005952701027
50,4,two_opt,4,random_best,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,4,model_learned,5.533407211303711,7.051199173554778,-27.4296089966143
50,4,two_opt,8,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,random_mean,5.533407211303711,8.97432935750112,-62.184509738742
50,4,two_opt,8,random_best,5.533407211303711,8.348185868933797,-50.868814640643514
50,4,two_opt,8,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,8,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,12,original_order,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,12,exact_fixed_orientation,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,12,exact_reversible,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,12,greedy_pair,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,12,random_mean,5.533407211303711,10.718049851246178,-93.69710997143345
50,4,two_opt,12,random_best,5.533407211303711,9.278159501031041,-67.67534263658574
50,4,two_opt,12,model_route,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,4,two_opt,12,model_learned,5.533407211303711,5.53340700827539,3.6691375406354627e-06
50,5,raw,4,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,raw,4,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
